rt	media	hashtag	host	nominees	winner	presenter
	http://t.co/	redcarpet	t they ever	sofia	best miniseries	"(' robert pattinson and amanda seyfried', ""'"")"
	http://t.co/	foreversufrida	these are probably the best	darcy st fudge	best supporting actor at	('i refuse', 'with')
	http://t.co/	marryme	really good pairing to	jessica lange	best actress in a mini	('why does jennifer lopez always seem', 'music')
	http://t.co/	goldenglobes	t have picked better people to	darcy st fudge	best supporting actress in a tv movie	('m told jeremy renner', 'at')
	http://t.co/	goldenglobes	amy as	darcy st fudge	best supporting actor globe for	('re not', 'with')
	http://t.co/	scandal	tina and amy should	jessica lange	best tv mini series	('hotelnoirfilm is stunning tonight', 'at')
	http://t.co/	goldenglobes	goldenglobes	darcy st fudge	best comedy	(' jason statham', 'at')
	http://t.co/	birraseries	goldenglobes	liz and dick	best actress in a miniseries or movie	('mom and dad for the gift of music that you', 'me')
	http://t.co/	redcarpet	can tina and amy	i	best actress in a miniseries or motion picture made for television for game change	(' gotta', 'a big #woot', 'all')
	http://t.co/	goldenglobes	are you watching	darcy st fudge	best life	(' lo', 'for')
	http://t.co/	goldenglobes	best award	liz and dick	best actress in a miniseries or tv movie for	('t claire danes just', 'birth?', 'what')
	http://t.co/	goldenglobes	amy and tina are killing it as	darcy st fudge	best supporting actor globe for	('just', 'all the awards', 'adele')
	http://t.co/	goldenglobes	they keep hiring funny people to	darcy st fudge	best actress in a mini	('adele promised to', 'birth on stage if she wins....lets see if she lied', 'me')
	http://t.co/	goldenglobes	loving tina and amy as	jessica lange	best tv actress for sara palin portrayal http	('t', 'it', 'her')
	http://t.co/	goldenglobes	the	jessica lange	best supporting actor	(' then they', 'jennifer')
	http://t.co/	goldenglobes	so this is how it is when super funny people	jessica lange	best tv movie	('danielcraig when her name was', 'as')
	http://t.co/	briandrew	if tina fey and amy poehler	jessica lange	best actress in a miniseries or movie	('daniel craig just', 'adele')
	http://t.co/	goldenglobes	these ladies should	jessica lange	best mini	('evalongoria you looked amazing', 'with')
